Sum of __index_level_0__,Sum of avg_temp_c,Sum of avg_sea_level_pres_hpa,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,competition,country,city_name,Sum of Draw,Sum of max_temp_c,Sum of Loose,Sum of min_temp_c,neutral,Opponent,Sum of peak_wind_gust_kmh,Sum of Point,Sum of precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of TA,Sum of TF,Team,Sum of sunshine_total_min,Sum of TotalTri,TrancheTemp,TranchWind,Sum of Win,world_cup
55030,7.2,1013.1,319,11.6,Dublin,2017 end-of-year test,Ireland,Dublin,0,9,1,7.1,False,Ireland,,0,1.3,L,Autumn,false,,Aviva Stadium,03969,38,3,South Africa,,41,0-20,moins de 30,0,False
55030,7.2,1013.1,319,11.6,Dublin,2017 end-of-year test,Ireland,Dublin,0,9,0,7.1,False,South Africa,,3,1.3,W,Autumn,false,,Aviva Stadium,03969,3,38,Ireland,,41,0-20,moins de 30,1,False
54792,11.5,1007.8,256,36,Dublin,2017 Six Nations Championship,Ireland,Dublin,0,12.9,1,6.8,False,England,,0,1.2,L,Spring,false,,Aviva Stadium,03969,9,13,Ireland,,22,0-20,30-60,0,False
54771,9.3,1002.8,233,29.1,Dublin,2017 Six Nations Championship,Ireland,Dublin,0,14.1,1,4.2,False,France,,0,0.1,L,Winter,false,,Aviva Stadium,03969,9,19,Ireland,,28,0-20,moins de 30,0,False
54792,11.5,1007.8,256,36,Dublin,2017 Six Nations Championship,Ireland,Dublin,0,12.9,0,6.8,False,Ireland,,3,1.2,W,Spring,false,,Aviva Stadium,03969,13,9,England,,22,0-20,30-60,1,False
54771,9.3,1002.8,233,29.1,Dublin,2017 Six Nations Championship,Ireland,Dublin,0,14.1,0,4.2,False,Ireland,,3,0.1,W,Winter,false,,Aviva Stadium,03969,19,9,France,,28,0-20,moins de 30,1,False
55401,10.7,1023.9,120,18.3,Dublin,2018 Autumn International,Ireland,Dublin,0,12.4,0,11.8,False,Ireland,37,3,0,W,Autumn,false,,Aviva Stadium,03969,16,9,New Zealand,,25,0-20,moins de 30,1,False
55401,10.7,1023.9,120,18.3,Dublin,2018 Autumn International,Ireland,Dublin,0,12.4,1,11.8,False,New Zealand,37,0,0,L,Autumn,false,,Aviva Stadium,03969,9,16,Ireland,,25,0-20,moins de 30,0,False
55394,6.8,986.2,174,11.7,Dublin,2018 Autumn Internationals,Ireland,Dublin,0,9.9,0,5.6,False,Argentina,33.3,3,4.2,W,Autumn,false,,Aviva Stadium,03969,17,28,Ireland,,45,0-20,moins de 30,1,False
55394,6.8,986.2,174,11.7,Dublin,2018 Autumn Internationals,Ireland,Dublin,0,9.9,1,5.6,False,Ireland,33.3,0,4.2,L,Autumn,false,,Aviva Stadium,03969,28,17,Argentina,,45,0-20,moins de 30,0,False
